,Unnamed: 0,Unnamed: 0.1,2022-06-30 00:00:00,2022-03-31 00:00:00,2021-12-31 00:00:00,2021-09-30 00:00:00,2021-06-30 00:00:00,2021-03-31 00:00:00,2020-12-31 00:00:00,2020-09-30 00:00:00,2020-06-30 00:00:00,2020-03-31 00:00:00,2019-12-31 00:00:00,2019-09-30 00:00:00,2019-06-30 00:00:00,2019-03-31 00:00:00,2018-12-31 00:00:00,2018-09-30 00:00:00,2018-06-30 00:00:00,2017-12-31 00:00:00,2016-12-31 00:00:00
0,0,Net Income,1661000000.0,1561000000.0,1727000000.0,1675000000.0,1891000000.0,1006000000.0,1254000000.0,-1000000.0,-217000000.0,258000000.0,-2310000000.0,347000000.0,90000000.0,601000000.0,781000000.0,1049000000.0,2803000000.0,595000000.0,4404000000.0
1,1,Depreciation & Amortization,684000000.0,752000000.0,655000000.0,725000000.0,745000000.0,717000000.0,726000000.0,724000000.0,700000000.0,724000000.0,713000000.0,739000000.0,743000000.0,743000000.0,1146000000.0,732000000.0,1451000000.0,3155000000.0,2862000000.0
2,2,Non Cash Items (Other),-55000000.0,890000000.0,-379000000.0,447000000.0,127000000.0,-986000000.0,-182000000.0,415000000.0,333000000.0,300000000.0,2996000000.0,42000000.0,114000000.0,725000000.0,,-865000000.0,-418000000.0,,
3,3,Accounts Receivable Change,-26000000.0,-741000000.0,90000000.0,-319000000.0,-1037000000.0,-866000000.0,-168000000.0,-357000000.0,568000000.0,128000000.0,259000000.0,755000000.0,154000000.0,85000000.0,,-307000000.0,-1115000000.0,,
4,4,Change in inventories,-465000000.0,-443000000.0,-266000000.0,-224000000.0,-800000000.0,-478000000.0,-72000000.0,158000000.0,540000000.0,-111000000.0,185000000.0,425000000.0,105000000.0,-47000000.0,,-208000000.0,-912000000.0,,
5,5,Accounts Payable Change,-17000000.0,86000000.0,971000000.0,130000000.0,746000000.0,611000000.0,476000000.0,336000000.0,-582000000.0,-314000000.0,-22000000.0,-476000000.0,2000000.0,-452000000.0,,154000000.0,1299000000.0,,
6,6,Change in payables and accrued liability,-17000000.0,86000000.0,971000000.0,130000000.0,746000000.0,611000000.0,476000000.0,336000000.0,-582000000.0,-314000000.0,3867000000.0,,,,,,,,
7,7,Change in other assets and liabilities,147000000.0,-240000000.0,-467000000.0,356000000.0,535000000.0,-295000000.0,-404000000.0,492000000.0,248000000.0,254000000.0,129000000.0,-108000000.0,-333000000.0,-274000000.0,,176000000.0,-1315000000.0,,
8,8,Other operating activities,,,,,,,,,,,,,,,-822000000.0,,,2811000000.0,-1846000000.0
9,9,Operating Cash Flow,1854000000.0,1603000000.0,2575000000.0,2721000000.0,2004000000.0,-291000000.0,1630000000.0,1767000000.0,1590000000.0,1239000000.0,1950000000.0,1724000000.0,875000000.0,1381000000.0,1370000000.0,731000000.0,1793000000.0,-4958000000.0,-2957000000.0
10,10,Capital expenditures,-500000000.0,-350000000.0,-1150000000.0,-430000000.0,-348000000.0,-291000000.0,336000000.0,-8000000.0,-272000000.0,-389000000.0,-545000000.0,-457000000.0,-493000000.0,-467000000.0,-1031000000.0,-612000000.0,-900000000.0,-1714000000.0,-3820000000.0
11,11,Net Aquisitions,0.0,11000000.0,-22000000.0,0.0,-107000000.0,,0.0,-130000000.0,,,-166000000.0,,,,24000000.0,-20000000.0,,64000000.0,1092000000.0
12,12,Long-Term Investments Change (Net),130000000.0,-13000000.0,-207000000.0,-327000000.0,-300000000.0,278000000.0,-561000000.0,56000000.0,-138000000.0,236000000.0,-52000000.0,-258000000.0,111000000.0,3000000.0,,-136000000.0,-96000000.0,,
13,13,Other investing activities,-36000000.0,-51000000.0,-39000000.0,-17000000.0,-21000000.0,-18000000.0,0.0,0.0,29000000.0,-27000000.0,0.0,0.0,0.0,-34000000.0,289000000.0,-90000000.0,544000000.0,9431000000.0,8684000000.0
14,14,Investing cash flow,-396000000.0,-367000000.0,-1379000000.0,-767000000.0,-755000000.0,-13000000.0,-225000000.0,-82000000.0,-381000000.0,-153000000.0,-597000000.0,-715000000.0,-382000000.0,-498000000.0,-818000000.0,-858000000.0,-452000000.0,7552000000.0,5092000000.0
15,15,Repayment/Issuance of Debt (Net),-816000000.0,97000000.0,-254000000.0,-1561000000.0,-1235000000.0,-182000000.0,-447000000.0,-359000000.0,-618000000.0,1012000000.0,-991000000.0,73000000.0,-1952000000.0,-97000000.0,-624000000.0,-211000000.0,-223000000.0,-621000000.0,-556000000.0
16,16,"Equity Repurchase (Common, Net)",-738000000.0,-565000000.0,-292000000.0,-388000000.0,,127000000.0,55000000.0,23000000.0,14000000.0,-109000000.0,-40000000.0,-96000000.0,-299000000.0,28000000.0,,21000000.0,85000000.0,,
17,17,Dividends Paid (Total),-505000000.0,-513000000.0,-512000000.0,-518000000.0,-522000000.0,-529000000.0,-562000000.0,-518000000.0,-534000000.0,-519000000.0,-578000000.0,-525000000.0,-522000000.0,-537000000.0,-684000000.0,-1050000000.0,-2149000000.0,-3364000000.0,-2638000000.0
18,18,Other financial activities,-170000000.0,601000000.0,-208000000.0,340000000.0,-138000000.0,-11000000.0,-1000000.0,-76000000.0,-6000000.0,-119000000.0,-230000000.0,-41000000.0,1739000000.0,-27000000.0,235000000.0,-69000000.0,-325000000.0,-128000000.0,-67000000.0
19,19,Financing cash flow,-2079000000.0,-1017000000.0,-1097000000.0,-2474000000.0,-1905000000.0,-595000000.0,-955000000.0,-930000000.0,-1144000000.0,265000000.0,-1839000000.0,-589000000.0,-1034000000.0,-633000000.0,-1243000000.0,-1309000000.0,-2612000000.0,-3331000000.0,-4014000000.0
20,20,Exchange Rate Adjustment,-117000000.0,-45000000.0,-42000000.0,-45000000.0,36000000.0,-48000000.0,103000000.0,70000000.0,20000000.0,-86000000.0,27000000.0,-64000000.0,-20000000.0,30000000.0,-41000000.0,10000000.0,-69000000.0,320000000.0,-77000000.0
21,21,Discontinued Operations and Adjustments,,,,,,,,,,,,,,-97000000.0,,,,,
22,22,Change in Cash,-738000000.0,174000000.0,57000000.0,-565000000.0,-620000000.0,-947000000.0,553000000.0,825000000.0,85000000.0,1265000000.0,-459000000.0,356000000.0,-464000000.0,183000000.0,-732000000.0,-1426000000.0,-1340000000.0,-417000000.0,-1956000000.0
23,23,Beginning Cash,0.0,3033000000.0,0.0,0.0,0.0,5108000000.0,0.0,0.0,0.0,2380000000.0,0.0,0.0,0.0,2764000000.0,-1000000.0,0.0,6208000000.0,6624000000.0,8580000000.0
24,24,Ending Cash,-738000000.0,3207000000.0,57000000.0,-565000000.0,-620000000.0,4161000000.0,553000000.0,825000000.0,85000000.0,3645000000.0,-459000000.0,356000000.0,-464000000.0,2947000000.0,-733000000.0,-1426000000.0,4868000000.0,6207000000.0,6624000000.0
25,25,Dividends Paid (Common),-526000000.0,-514000000.0,-550000000.0,-525000000.0,-542000000.0,-529000000.0,-562000000.0,-518000000.0,-534000000.0,-519000000.0,-578000000.0,-525000000.0,-522000000.0,-537000000.0,3199000000.0,-1050000000.0,-2149000000.0,0.0,0.0
26,26,Net Cash/Marketcap,0.3359,0.267,0.3071,0.3104,0.2944,0.2637,0.2883,0.3587,0.4318,0.6036,0.3456,0.4186,0.4022,0.4194,,0.4506,0.4506,,
27,27,Assets Liabilities Change (Total),-456000000.0,-1591000000.0,538000000.0,-157000000.0,-800000000.0,-1028000000.0,-168000000.0,629000000.0,774000000.0,-43000000.0,551000000.0,596000000.0,-72000000.0,-688000000.0,-1018000000.0,-185000000.0,-2043000000.0,-11519000000.0,-8377000000.0
28,28,Investments Change (Net),130000000.0,-13000000.0,-207000000.0,-327000000.0,-300000000.0,278000000.0,-561000000.0,56000000.0,-138000000.0,236000000.0,-52000000.0,-258000000.0,111000000.0,3000000.0,-100000000.0,-136000000.0,-96000000.0,-229000000.0,-864000000.0
29,29,Issuance/Purchase of Shares,-738000000.0,-565000000.0,-292000000.0,-388000000.0,,127000000.0,55000000.0,23000000.0,14000000.0,-109000000.0,-40000000.0,-96000000.0,-299000000.0,28000000.0,6000000.0,21000000.0,85000000.0,489000000.0,-720000000.0
30,30,Capital Stock Change,-738000000.0,-565000000.0,-292000000.0,-388000000.0,-127000000.0,127000000.0,55000000.0,23000000.0,14000000.0,-109000000.0,-40000000.0,-96000000.0,-299000000.0,28000000.0,,21000000.0,85000000.0,,
